section,question,answer,page_link
اقتصاد وأعمال,هل تنتج السعودية ألعابا إلكترونية؟,"نعم، تختصشركة مانجا للإنتاجالتابعةلمؤسسة محمد بن سلمان""مسك""، في صناعة المحتوى الإبداعي الذي يشمل إنتاج ألعاب الفيديو، ومن خلال تعاونها مع شركة ""تلتيل جيمز"" المختصة في تطوير مجال الألعاب الإلكترونية عام 1443هـ/2021م، عزمت على إطلاق لعبة إلكترونية عبر إتاحة فرصة الاستفادة للموهوبين السعوديين من الخبراء بفريق التطوير في الشركة.
وتوفر المملكة العربية السعودية فرصًا للمهتمين بمجال صناعة ألعاب الفيديو، إذ أقامت بدعم منوزارة الاتصالات وتقنية المعلوماتبرنامج ""معسكر همة لتطوير الألعاب"" عام 1442هـ/2021م، الذي يتيح للخريجين والباحثين عن عمل فرصة التطور في المجال من خلال تزويدهم بالمهارات والأدوات اللازمة لصناعة الألعاب وتطويرها.",https://saudipedia.com/article/10693/اقتصاد-وأعمال/شؤون-اقتصادية/هل-تنتج-السعودية-ألعابا-إلكترونية
ثقافة,أين يقع قصر الحمراء؟,"يقع قصر الحمراء أو القصر الأحمر، شمال حديقة الفوطة فيالرياضعاصمة المملكة العربية السعودية، إذ بُني عام 1362هـ/1943م، بأمرٍ من الملك المؤسسعبدالعزيز بن عبدالرحمن آل سعود، ليكون مقرًّا لابنه وولي عهده الأميرسعود بن عبدالعزيز، وسُلّم له بعد عامين من أمره حين اكتمل تشييده.
يُعدُّ القصر الأحمر من أوائل العمائر السعودية المُسلّحة بالخرسانة، وامتاز بناؤه بتصميمه الخاص، إذ لم يحمل سمات العمارة النجدية -على عادة القصور الملكية آنذاك-، ليُزيّن برواشينه الخشبيّة المزخرفة، وجدرانه الخارجية المطليّة باللون الزهري المائل للحُمرة، وغُرفٍ مُجّهزة بالمراوح السقفيّة وأدوات التكييف.
ويحتوي القصر على مجموعة من المقتنيات الملكية كالأواني واللوحات وقطع الأثاث، وشهد عددًا من القرارات السياسية والسيادية، واستُضيف فيه العديد من الشخصيات الرئاسيّة، بعد أن أصبح مقرًّالمجلس الوزراءلمدّة 30 عامًا، ثمّ مقرًّالديوان المظالم، كما صُنّف فيما بعد ضمن التراث العمراني في السعودية.",https://saudipedia.com/article/10689/ثقافة/متاحف/أين-يقع-قصر-الحمراء
حكومة وسياسة,ما هي مهام المركز الوطني للتخصيص؟,"تأسسالمركز الوطني للتخصيصفي المملكة العربية السعودية بموجب قرارمجلس الوزراءفي 7 جمادى الأولى 1438هـ/6 مارس 2017م، كجزء منرؤية السعودية 2030. ويقوم المركز بتمكين عمليات تخصيص أصول وخدمات الجهات الحكومية المستهدفة، وهي أولوية تم تحديدها كجزء من خطة الرؤية.
يتولىالمركز الوطني للتخصيصصياغة أُطر وسياسات التخصيص، وتقديم الاستشارات والتوجيهات، إضافة إلى المراقبة الفعالة وكتابة التقارير لتعزيز الجودة، حيث تتنوع مهامه التي تخدم تمكين التخصيص، ومن ضمنها صياغة اللوائح والتشريعات واقتراح القطاعات الممكن تخصيصها وعمل دراسات تحليلية للمساندة في اتخاذ القرارات.
كما يعمل المركز على رسم النطاق التنظيمي العام والنطاق التنظيمي للتخصيص ووضع سياساته وضوابطه بطريقة ممنهجة للجان الإشرافية التابعة للتخصيص، ويساند المركز في مراجعة استراتيجيات القطاعات المخصصة والتأكد من تطابقها مع معايير برنامج التخصيص، وقياس مؤشرات أداء القطاعات المعنية ومراقبة التقدم، كما يقدم الدعم لزيادة كفاءتها عن طريق المتابعة المستمرة من برنامج التخصيص.",https://saudipedia.com/article/10669/حكومة-وسياسة/ما-هي-مهام-المركز-الوطني-للتخصيص
حكومة وسياسة,ما هي قطاعات برنامج تطوير الصناعة الوطنية والخدمات اللوجستية؟,"تضم قطاعاتبرنامج تطوير الصناعة الوطنية والخدمات اللوجستيةكلًّا من: قطاع الطاقة وقطاعالتعدينوقطاع الصناعة وقطاع الخدمات اللوجستية، لغرض تعزيز القوة الاقتصادية في المملكة العربية السعودية وخلق مناخ اقتصادي متنوع ومستدام.
ومنذ إطلاق برنامج تطوير الصناعة الوطنية والخدمات اللوجستية عام 1440هـ/2019م، حقق البرنامج إنجازات متعددة، من ضمنها برنامج المسح الجيولوجي، كما نصَب خمسة خطوط ملاحية جديدة، واهتم البرنامج كذلك بالطاقة المتجددة عن طريق إنشاء محطات خاصة بها، ويعد البرنامج عنصرًا فاعلًا في مجال خلق الفرص الوظيفية للمواطنين من خلال توطين قطاع الصناعة العسكرية.
ويعمل البرنامج على تطوير البنى التحتية لقطاعاته وزيادة الفرص الجاذبة للاستثمار، كما لبرنامج تطوير الصناعة الوطنية واللوجستية دور أساسي في تحسين الميزان التجاري، ورفع جودة الصناعة المحلية لتمكينها من التنافس في الأسواق العالمية.",https://saudipedia.com/article/10668/حكومة-وسياسة/ما-هي-قطاعات-برنامج-تطوير-الصناعة-الوطنية-والخدمات-اللوجستية
مجتمع,ما هي الصيادية؟,"هي تسمية للأرز الذي يكتسب اللون البني، ويُسمى بأرز الصيادية، ويرتبط اسمه بالصيادين لكونه يُقدم دومًا مع السمك المقلي أو المشوي أوالمأكولاتالبحرية بشكلٍ عام.
أعلنت هيئة فنون الطهي في العام 1445هـ/2024م عن تسمية الأطباق المناطقية لمناطق المملكة، ضمن مبادرة ""روايات الأطباق الوطنية وأطباق المناطق""، وسُميت ""الصيادية"" طبقًا لمنطقة تبوك.
ويُحضر أرز الصيادية عن طريق تحمير كمية من البصل حتى يتغير لونه إلى البني، ثم إضافة الماء عليه والزبدة وكمية الأرز مما يكسبه اللون البني أثناء طهوه، كما يمكن إضافة الكمون والليمون الأسود إليه لإضافة نكهة أكثر حموضة.
طبقًا لهيئة فنون الطهي يفضل في إعداد الصيادية استخدام أسماك: الشعور، أو الناجل الصغير، أو الطراد، أو الشريف، إلى جانب الأرز ذي الحبة الطويلة.",https://saudipedia.com/article/10657/مجتمع/مأكولات-ومشروبات/ما-هي-الصيادية
حكومة وسياسة,متى بدأت تحلية المياه في السعودية؟,"يعود تاريخ تحلية المياه في المملكة العربية السعودية إلى عام 1325هـ/1907م، عندما انتُشلت آلة تعمل بالفحم الحجري لتقطير بخار الماء من إحدى السفن المتحطمة، ونصبت على شاطئجدةوسميت ""الكنداسة"" اشتقاقًا من اسمها اللاتيني (condenser) وتعني المكثف.
وفي عام 1346هـ/1926م أمر الملك المؤسسعبدالعزيز بن عبدالرحمن آل سعودباستيراد آلتين لتقطير مياه البحر لتأمين احتياجات الحجاج والمعتمرين وتزويد سكان جدة بالماء.
وتواصلت المسيرة حتى أنشئت إدارة عامة لتحلية المياه المالحة بوزارة الزراعة والمياه (وزارة البيئة والمياه والزراعةحاليًّا) عام 1385هـ/1965م، وصولاً إلى إنشاءالمؤسسة العامة لتحلية المياه المالحةالتي حققت إنجازات عالمية، إذ حصلت عام 1440هـ/2019م على شهادة موسوعة جينيس للأرقام القياسية التي تُصادق على تميز ""التحلية"" بوصفها أكبر منشأة منتجة لمياه البحر المحلاة في العالم بحجم إنتاج بلغ خمسة ملايين متر مكعب في اليوم الواحد. كما حصلت محطة الجبيل لتحلية المياه المالحة على أكبر إنتاج لمحطة في العالم بلغ 1.4 مليون متر مكعب من المياه يوميًّا.
وفي 28 شوال 1445 هـ / 7 مايو 2024 م، وافق مجلس الوزراء على تحويل (المؤسسة العامة لتحلية المياه المالحة) إلى هيئة باسم (الهيئة السعودية للمياه).",https://saudipedia.com/article/10653/حكومة-وسياسة/المياه-والزراعة/متى-بدأت-تحلية-المياه-في-السعودية
حكومة وسياسة,كم عدد أشجار الزيتون في منطقة الجوف؟,"يبلغ عدد أشجار الزيتون التي زُرعت فيمنطقة الجوفنحو 18 مليون شجرة، حيث دخلت طريقة الزراعة المكثفة لأشجار الزيتون بالمنطقة في عام 1428هـ/2007م. وتعتمد هذه الطريقة على تكثيف عدد الأشجار، بحيث تكون قريبة من بعضها لتكون المسافة بينها أربعة أمتار كحد أقصى، وتصل إلى نحو 1600 شجرة زيتون في الهكتار الواحد، إذ يضم حقل الزيتون بالطريقة المكثفة نحو مليون شجرة، تتوزع على عشرة حقول، في كل حقل 100 ألف شجرة.
وقد سجلت موسوعة جينيس للأرقام القياسية أحد حقولشركة الجوف للتنمية الزراعيةفي قائمتها كأكبر مزارع الزيتون عالميًّا، كما يُعد مصنع الزيتون الذي تملكه الشركة أحد أكبر مصانع إنتاج زيت الزيتون في الشرق الأوسط.",https://saudipedia.com/article/10651/حكومة-وسياسة/المياه-والزراعة/كم-عدد-أشجار-الزيتون-في-منطقة-الجوف
تاريخ,متى بُنيت قلعة حقل؟,"بُنيت قلعة حقل عام 1359هـ/1940م في مرحلة توحيد المملكة العربية السعودية، تقع فيمحافظة حقلبمنطقة تبوكشمال غربي السعودية، وهي إحدى القلاع العسكرية التي أمر ببنائهاالملك المؤسس عبدالعزيز بن عبدالرحمن آل سعودلتكون مركزًا للأمن، ومقرًّا لإدارة شؤون المواطنين في المنطقة.
وهي قلعة مشيدة من الحجر الجيري، تبلغ مساحتها 900م2، وتعد نواة التحول العمراني والنمو السكاني في المدينة، فبعد أن كانت قلعة عسكرية تقع في منطقة نائية وتقتصر مهامها على توفير الأمن والحماية، تحولت فيما بعد إلى مجمع للقطاعات الحكومية، ونمت حولها تباعًا المؤسساتُ المدنية، إضافة إلى المنطقة السكنية التي تُعرف اليوم بالبلدة القديمة في حقل.
واليوم هي من أهمالمعالم الأثرية في منطقة تبوك، ففي عام 1434هـ/2013م، أعادتوزارة السياحةترميمها بالكامل ضمن خطة لتطوير قطاع الآثار في المملكة، ومن ثم فتحتها أمام الزوار لتكون معرضًا تاريخيًّا للتراث المعماري في منطقة تبوك.",https://saudipedia.com/article/10649/تاريخ/معالم-و-آثار/متى-بنيت-قلعة-حقل
شؤون دينية,كم عدد اللغات التي يتحدثها المترجمون في الحرمين الشريفين؟,"يتحدث المترجمون في الحرمين الشريفين مع الزوار والحجاج والمعتمرين بـ 21 لغة، إضافة إلى لغة الإشارة المخصصة للتخاطب مع ذوي الإعاقة من فئة الصم.
وتضمالهيئة العامة للعناية بشؤون المسجد الحرام والمسجد النبويإدارة مخصصة للغات والترجمة، تعمل على تقديم خدماتها لضيوف الرحمن في الحرمين الشريفين عبر مجموعة من المنصات الإلكترونية والتطبيقات والبرامج الذكية الموجهة للزوار والعمّار والحجاج.
وتتضمن خدمات الترجمة فيالمسجد الحراموالمسجد النبويإجابة السائلين وإرشادهم، وترجمة الدروس العلمية في الحلقات المنتشرة بأروقة الحرمين، إضافة إلى حضور المترجمين في جميع المواقع التي يرتادها ضيوف الرحمن للقيام بخدمتهم وتزويدهم بالمعلومات التي يرغبون في الحصول عليها.",https://saudipedia.com/article/10642/شؤون-دينية/كم-عدد-اللغات-التي-يتحدثها-المترجمون-في-الحرمين-الشريفين
اقتصاد وأعمال,ما هي غرفة عمليات البحر الأحمر؟,"هي إحدى مبادراتوزارة الداخليةالداعمة لقطاع السياحة في المملكة العربية السعودية، تأسست عام 1442هـ/2021م، وتهدف إلى تسريع عملية إصدار التصاريح والتراخيص للسياحة البحرية في السعودية، وتنظيم النشاطات البحرية، إلى جانب إدارة اليخوت والسفن السياحية القادمة من الخارج، وإبحارها في المياه الإقليمية السعودية، ووضع خطط لحفظ الأمن والسلامة؛ مما يسهم في تعزيز مقومات السياحة.
وتعمل الغرفة وفق مستهدفاترؤية السعودية 2030. وقدمت منذ تأسيسها حتى 1443هـ/2021م، خدماتها لـ35 يختًا أجنبيًّا، كما استقبلت نحو 123 طلبًا لتسهيل إجراءات العبور، إضافةً إلى معالجة الاتصالات الواردة من داخل السعودية وخارجها؛ لتقليص وقت إنجاز إجراءات اليخوت، وتنظيم دخولها.
يشكّل البحر الأحمر أهمية اقتصادية وسياحية للمملكة العربية السعودية، إذ يُمثّل ساحل المملكة المطل عليه نحو 2,600 كلم، وهو أكبر سواحلها، كما أنه حلقة الوصل البحرية بين شبه الجزيرة العربية، وشمال القارة الأفريقية.",https://saudipedia.com/article/10636/اقتصاد-وأعمال/سياحة/ما-هي-غرفة-عمليات-البحر-الأحمر
مجتمع,ما هي المطازيز؟,"هي إحدى الأكلات الشعبية في المملكة العربية السعودية، يكثر تناولها في فصل الشتاء، تشتهر بهامنطقة نجد، ومفردها مِطزاز، أو مَطزوز، ويعتقد أن أصل الكلمة مزيج من كلمتين، هما كلمة ""مطّ""، وتشير إلى مد وفرد العجين، و""زيز""، التي تستعمل لوصف القطع الصغيرة أثناء طهوها في اللحم والخضار.
تتألف المطازيز من مكونين رئيسيين، هما المكونات العجينية، بخلط الدقيق مع الملح، وإضافة الماء الفاتر بالتدريج للحصول على العجينة خشنة، ثم يعجن المزيج باليدين حتى تصبح العجينة ملساء، وتغطى بمنشفة رطبة لنحو نصف ساعة حتى تتخمر، بعدها تقسم إلى كرات صغيرة، تتشكل منها أقراص رقيقة، تحفظ لتفادي جفافها، وترش بالماء منعًا لالتصاقها مع بعضها.
والمكون الثاني هو المرق، بسلق اللحم في قدر مع التوابل المناسبة، مثل البهار العربي والفلفل الأسود واللومي، لمدة ربع ساعة، وقلي السمن مع البصل المفروم لخمس دقائق، ثم تُضاف صلصة الطماطم، واللحم المسلوق مع 3.5 لترات من الماء حتى الغليان، ويترك على نار هادئة لـ 40 دقيقة، وتضاف الخضار المقطعة من اليقطين والبطاطا والباذنجان والكوسا والفاصولياء الخضراء، وتلقى قطع العجين المجهزة واحدة تلو الأخرى حتى لا تلتصق، بعد إزالة الدقيق المرشوش، ويحرك المزيج على نار هادئة لنحو نصف ساعة، أو عند نضج العجين وتوجهه إلى أسفل القدر.",https://saudipedia.com/article/10631/مجتمع/مأكولات-ومشروبات/ما-هي-المطازيز
اقتصاد وأعمال,ما هي شركة السودة للتطوير؟,"هي شركة مملوكة بالكامل لصندوق الاستثمارات العامة في المملكة العربية السعودية، أعلن ولي العهد رئيسمجلس الوزراء، رئيس مجلس إدارة صندوق الاستثمارات العامة، صاحب السمو الملكي الأميرمحمد بن سلمان بن عبدالعزيز، عن إطلاقها عام 1442هـ/2021م، للاستثمار في البنية التحتية وتطوير قطاعيْ السياحة والترفيه، فيجبال السودةوأجزاء منمحافظة رجال ألمعفيمنطقة عسير، جنوب غربي السعودية، باستثمارات تتجاوز 11 مليار ريال، تبلغ مساحة منطقة المشروع 627 كلم2.
جاء إطلاق الشركة تماشيًا مع الاستراتيجية الاستثمارية التي ينتهجهاصندوق الاستثمارات العامةفي تحقيق مستهدفاترؤية السعودية 2030، من خلال تطوير قطاعيْ السياحة والترفيه، حيث ستساهم الشركة بزيادة إجمالي الناتج المحلي تراكميًا بـ29 مليار ريال، بالشراكة مع المستثمرين والقطاعين العام والخاص، وإيجاد 8000 فرصة وظيفية مباشرة وغير مباشرة بحلول عام 2030.
تهدف الشركة إلى تقديم خيارات سكنية وترفيهية متنوعة، من خلال تطوير 2700 غرفة فندقية، و1300 وحدة سكنية، بالإضافة إلى تطوير القطاعين التجاري والترفيهي بأكثر من 30 مشروعًا نوعيًا، ورفع جودة الخدمات المقدمة في منطقة المشروع من خلال الاستثمار في تطوير البنية التحتية بأكثر من 20 مشروعًا بقيمة تتجاوز 3 مليارات ريال، وذلك بهدف استقطاب مليوني زائر محلي ودولي سنويًا بحلول عام 2030.",https://saudipedia.com/article/10607/اقتصاد-وأعمال/سياحة/ما-هي-شركة-السودة-للتطوير
تاريخ,ما هو مشروع إعادة إحياء جدة التاريخية؟,"هو مشروع انطلق عام 1443هـ/2021م لتأهيل وتطويرجدة التاريخية، الواقعة في محافظة جدة التابعةلمنطقة مكة المكرمةفي المملكة العربية السعودية، ويُعد المشروع جزءًا رئيسًا من برنامج تطوير جدة التاريخية، الذي يهتم بجعلها مركزًا يجذب المشاريع الثقافية والأعمال، ووجهةً حيوية لرواد الأعمال في العالم، إذ تحظى هذه المنطقة بعناصر تاريخية وثقافية، تؤهلها لأن تصبح منطقة متكاملة تغذي الاقتصاد، وتسهم في نمو الناتج المحلي.
وتمثل جدة التاريخية أحد جوانب التراث العريق في السعودية، وتضم العديد من المعالم التراثية والمواقع التاريخية التي يستهدف المشروع إبرازها، ومنها: 36 مسجدًا تاريخيًّا، وأكثر من 600 مبنى تراثي، وخمسة أسواق تاريخية رئيسة، إضافةً إلى ساحات وممرات ومواقع ذات دلالات تاريخية مهمة، كما يعمل المشروع على تزويد المنطقة ببيئة تضم أماكن طبيعية، ويمتد العمل فيه على مدار 15 عامًا وفقًا لمسارات ومخططات عديدة.",https://saudipedia.com/article/10605/تاريخ/معالم-و-آثار/ما-هو-مشروع-إعادة-إحياء-جدة-التاريخية
حكومة وسياسة,لماذا الرياض عاصمة السعودية؟,"اُختيرتالرياضعاصمة للدولة السعودية لأهمية موقعها الذي شكّل نقطة مركزية في وسط الجزيرة العربية على مر العصور، منذ أن كانت قرى إقليم اليمامة المعبر الرئيس لطرق قوافل التجارة، ومن ثم الحج والعمرة، لتميّزها بالأودية الكثيرة وآبار المياه العذبة الوفيرة، والنخيل، والمزروعات والثمار. وبدأت النشأة الأولى للرياض منذ نحو ثلاثة قرون، وتعززت أهميتها التاريخية بعد اختيارها من قبلالإمام تركي بن عبدالله، عاصمة للدولة السعودية الثانيةعام 1240هـ/1825م، بدلًا عنالدرعية، ثم ازدهرت وشهدت نهضة كبرى بعد أن استعادهاالملك المؤسس عبدالعزيز بن عبدالرحمن آل سعودفي 5 شوال 1319هـ/15 يناير 1902م، لتصبح قاعدة لتوحيد المملكة.
كان توحيد المناطق وإعلان قيام المملكة العربية السعودية وعاصمتها مدينة الرياض في 21 جمادى الأولى 1351هـ/23 سبتمبر 1932م، محركًا للعمل على بناء دولة عصرية، لتشهد المدينة تجربة مميزة في الريادة والتطوير.
تقع مدينة الرياض في هضبة نجد وسط الجزيرة العربية، مما أكسبها بعدًا استراتيجيًّا، إذ تتوسط الجزيرة العربية قارات أفريقيا وآسيا وأوروبا، مما جعل الرياض محور التقاء عالمي، كما تُعدُّ من أكبر اقتصادات مدن المنطقة.",https://saudipedia.com/article/10599/حكومة-وسياسة/شؤون-حكومية/لماذا-الرياض-عاصمة-السعودية
جغرافيا,ما هي أعلى القمم الجبلية في السعودية؟,"تعد قمةجبل السودةفي المنطقة الجنوبية الغربية منمنطقة عسيرعلى بعد نحو 20 كلم منمدينة أبها، أعلى القمم الجبلية في المملكة العربية السعودية، إذ يصل ارتفاعها إلى 3,015م عن سطح البحر، وهو جزء من سلسلة جبال السروات الداخلية المطلة على الساحل الجنوبي للبحر الأحمر في المملكة شمال اليمن.
تشرف قمم جبال السودة على سهل تهامة بموازاة ساحل البحر الأحمر، وهي في الأصل ضمن سلسلة جبلية تشهد تفاوتًا طفيفًا في الارتفاع، والذي يتراوح بين 2,177م و3,015م، منها: جبل فِرواع، والمجاز، ونطفاء، وصهلاء، ومَنعا، ومومة، وكتفاء، وبثرة، وأَثرب، والبَلس، وكرا، وتنحدر منجبال السرواتمجموعة من الأودية ذات المجاري العميقة التي تصب في البحر الأحمر.
تكسو جبال السودة أشجار العرعر، ويغطيها الضباب طوال العام، وتتميز أجواؤها بالبرودة صيفاً وتتساقط عليها الثلوج في فصل الشتاء، وتضم المتنزه الوطني الذي يعتبر وجهة سياحية للتخييم وهواة المشي والتسلق الجبلي، كما أصبحت السودة وجهة للعديد من الأنشطة والفعاليات الرياضية خلال الصيف، تقام فيها الأنشطة السنوية ذات الطابع الثقافي ""رجال الطيب"".",https://saudipedia.com/article/10596/جغرافيا/جبال/ما-هي-أعلى-القمم-الجبلية-في-السعودية
اقتصاد وأعمال,ما معنى نيوم؟,"اُشتق اسمنيوم(NEOM) من كلمتين، الأولى ""NEO"" (نيو) وهي من اللغة الإغريقية، وتعني ""جديد""، ويرمز حرف ""M"" (ميم بالعربية) إلى كلمتين؛ الأولى مستقبل، والثانية الحرف الأول من اسم مؤسس المشروع، ولي العهد رئيس مجلس الوزراء، صاحب السمو الملكيالأمير محمد بن سلمانبن عبدالعزيز.
وتضمنت عملية اختيار الاسم 2000 اسم مقترح، وتقلّصت إلى 150 اسمًا، ثم خمسة أسماء مقترحة، ولم يكن اسم ""نيوم"" ضمن القائمة الأخيرة، بل تشكّل على مراحل حتى اعتماده.
واُختيرت كلمات تمثّل قطاعاتمشروع نيوموركائزه الأساسية، ثم انتُخبت الأحرف الأولى من تلك القطاعات، ودُمجت للحصول على اسم مميز يحافظ على هوية المشروع، ونتج عن ذلك اسم (NEO MSTACBEL)، ثم دُمج حرف ""M"" مع ""NEO""، ليتشكل اسم نيوم (NEOM).",https://saudipedia.com/article/324/اقتصاد-وأعمال/مشاريع/ما-معنى-نيوم
حكومة وسياسة,متى افتتح ميناء الجبيل التجاري؟,"دُشن ميناء الجبيل التجاري في مرحلته الأولى عام 1397هـ/1977م في عهدالملك خالد بن عبدالعزيز آل سعود، واكتملت مرافقه عام 1400هـ/1979م. وهو يقع على بُعد 80 كلم شمالمدينة الدمامفي المملكة العربية السعودية، ويُعد إحدى دعائم النشاط الاقتصادي في المملكة، لقربه من مراكز الإنتاج، مما يسهم في خفض تكلفة الصادرات والواردات.
يقع ميناء الجبيل التجاري على ساحل الخليج العربي، وهو ميناء تجاري مساند لميناء الملك عبدالعزيز في الدمام، ومن البوابات الرئيسة للمواد الواردة إلى السعودية، والمواد الصادرة إلى الأسواق العالمية.وهو مجهز بأسطول من القطع البحرية، تمكنه من إنهاء عملية إرساء أو مغادرة السفن تحت أي ظرف مناخي.",https://saudipedia.com/article/10557/حكومة-وسياسة/النقل/متى-افتتح-ميناء-الجبيل-التجاري
تاريخ,ما هو سور تيماء الأثري؟,"هو أحد المعالم والشواهد التاريخية فيمحافظة تيماءالتابعة إداريًّالمنطقة تبوكشمال غرب المملكة العربية السعودية، يمتد طوله نحو 18,2 كلم، ويتراوح عرض جداره بين متر إلى مترين، ترتفع بعض الأجزاء المتبقية منه لأكثر من عشرة أمتار، ويعد أكثر الأسوار تحصينًا وطولًا في شبه الجزيرة العربية، شيد سور تيماء في القرن السادس ق.م.
بُني السور الأثري باستخدام الحجارة واللبن والطين، فكانت بعض أجزائه تعمر بالحجارة، وبعضها الآخر باللبن والطين. وتحتفظ محافظة تيماء بالعديد من المعالم الأثرية والنقوش الحجرية التي يعود تاريخها لأكثر من 85 ألف عام، بُني بعضها في القرن السادس، مثلقصر الحمراءالذي يحتوي أحد أعمدته الحجرية على نص أرمي يعود لذات القرن، وتعود البئر المشيدة داخل قصر الرضم إلى قرون أخرى.",https://saudipedia.com/article/10526/تاريخ/معالم-و-آثار/ما-هو-سور-تيماء-الأثري
تاريخ,أين يقع بيت المتبولي؟,"يقع بيت المتبولي فيمدينة جدةبمنطقةجدة التاريخيةداخل حارة اليمن، ويُعد من أقدم البيوت في المنطقة، إذ يعود بناؤه إلى ما قبل نحو 400 عام، وقد شهد إعادة ترميم ليعود بأثاثه وتفاصيله المعمارية إلى الواجهة الحضارية لمدينة جدة.
يتكون البيت من 4 طوابق، تزيّنه الأخشاب المزخرفة على جدرانه وأسقفه المرتفعة، وله مدخلان مستقلان، يشرف مدخله الرئيس على السوق العلوي، ويحتوي البيت على صهريجين كانا مُعدّين لتخزين مياه الأمطار الوفيرة، كما يضم مجلسين، خُصص أحدهما للرجال وكبار بيت المتبولي، والآخر أسفل البيت للشباب. أما الطابق الثاني فهو بيت الجدة، مكوّن من مجلس وبيت الخزين الذي يضم المواد الغذائية للأسرة.
وعُرف بيت المتبولي بحسن الضيافة، إذ كان يستقبل الحجاج شهرًا كاملًا، وتتكفل العائلة بكل ما من شأنه أن يوفر الراحة للحجاج، كما أن أهل الحي كانوا يجتمعون لديهم في رمضان وأيام العيد، وسط طقوس تعكس تقاليد الجيل وعاداته.",https://saudipedia.com/article/10516/تاريخ/معالم-و-آثار/أين-يقع-بيت-المتبولي
حكومة وسياسة,أين يقع قصر شبرا؟,"يقعقصر شبرافي مدينةالطائفبمنطقةمكة المكرمة، بدأت أعمال البناء فيه عام 1323هـ/1904م، وتم الانتهاء منه خلال عامين، وتعود تسميته لتصميمه المستوحى من أحد قصور حي شبرا بالعاصمة المصرية القاهرة، ويتميّز بطرازه الذي مزج بين الأسلوبين الإسلامي والروماني والعمارة التقليدية في غرب المملكة العربية السعودية، ويضم 150 غرفة تقريبًا، وكان مقرًا لحكومة المملكة صيفًا في عهد الملك المؤسسعبدالعزيز بن عبدالرحمن آل سعود، ثم مقرًالوزارة الدفاعوالطيران (وزارة الدفاع حاليًا).
يتألّف قصر شبرا التاريخي من أربعة طوابق، وطابق إضافي تحت الأرض، ويضم ملاحق خارجية وحدائق، وحُولت وحداته الداخلية إلى قاعات متحفية بعد تحويله إلى متحف إقليمي عام 1415هـ/1995م.
وفي عام  1438هـ/2017م، سُجل قصر شبرا في سجل التراث العمراني الوطني السعودي الذي يتضمن تسجيل وحمايةمواقع التراث العمرانيوتأهيلها وتوثيق المعلومات والدراسات المتعلقة بها.
ويتميّز القصر بالزخارف الرومانية المعمارية المقتبسة والمقننة على بيئة الحجاز، وكذلك الأخشاب المحفورة على الشبابيك والنوافذ والرواشين والرخام والنورة على الأعمدة والأقواس.",https://saudipedia.com/article/10504/حكومة-وسياسة/أين-يقع-قصر-شبرا
جغرافيا,كم يبلغ طول وادي الليث؟,"يبلغ طول وادي الليث الواقع فيمحافظة الليثبمنطقة مكة المكرمة100 كلم، بمتوسط انحدار 14 م/ كلم. منبعه من قرية الطفلان، ويصب في البحر الأحمر قرب الليث، ومن أهم روافده وادي ذرى.
في عام 1439 هـ / 2017 م اعتمدتوزارة البيئة والمياه والزراعةمشروع إنشاء سد الليث؛ درءًا لأخطار السيول، وتعزيزًا لمصادر المياه الجوفية، بطول 380 م، وارتفاع 44.5 م، وسعة تخزينية تُقدر بـ 89.825.000 م3.
وامتدادًا لمشاريع الوزارة المعززة لموارد المياه الطبيعية، وقعت عام 1441 هـ / 2019 م عقدًا لحفر 13 بئرًا، بين سدّي وادي الليث، السطحي والجوفي، فحفرت 10 آبارأنبوبية و3 آبار مراقبة؛ وذلك بهدف إيجاد مصادر مياه لمحطة التنقية، تنتج ما يصل إلى 25 ألف م3 بشكل يومي، وبنوعية 300 جزء من المليون.",https://saudipedia.com/article/10485/جغرافيا/كم-يبلغ-طول-وادي-الليث
مجتمع,ما هي صناعة الخوص؟,"هي حرفة تقليدية في المملكة العربية السعودية، يستخدم فيها سعفالنخيلوالجريد المنسوج يدويًّا، لتصنع منه سفر الطعام والمحادر والقفف والسلال والمناسف والزبلان والأواني، وكذلك أسِرَّة الأطفال والأقفاص وبعض أنواع الحبال.
ويجمع سعفالنخيلالأخضر، ثم ينشر تحت أشعة الشمس ويترك حتّى يجف ، ثم ينقع في الماء حتى يلين، ويحول إلى ""سفايف"" ، وهي جديلة عريضة تضيق أو تتسع باختلاف الإنتاج ، ثم يخاط وتُضمّ الجدائل بعضها  إلى بعض على هيئة نسيج ، ويمكن صبغ السعف بألوان مختلفة، مثل الأزرق والأخضر والأحمر.",https://saudipedia.com/article/10465/مجتمع/حرف-ومهن/ما-هي-صناعة-الخوص
